# 《霓虹猎手》游戏文案全表 v2（2026-09-18，用户手动修订，含"修改文本"列；待同步回游戏）,,,,
# 手动修改后请递增文件名版本号（文案表-v2.csv…）；需同步回游戏时说一声,,,,
# ${...} 为动态数值占位，修改文案时请保留,,,,
区域,场景/键,当前文本,修改文本,备注
面板,树按钮·灵魂共鸣,灵魂共鸣 Lv.${n} → Lv.${n+1} · 碎片掉落增加 +${a}%→+${b}%,,
面板,补给冷却,下一补给箱：${N} 分钟后,,
面板,补给就绪,补给箱已就绪！,,
面板,补给按钮,开补给箱（看广告 ×1 更多）,开补给箱（广告 ）,
装备,合成按钮,合成 3×${品质} → 1×${品质+1},,品质名按品质色着色
装备,拆解按钮,拆解低品质 ${N} 件 → +${价值},,
装备,部位名·武器,义体武器,,
装备,部位名·插件,神经插件,,
装备,部位名·装甲,皮下装甲,,
装备,部位名·芯片,芯片,,
装备,部位加成·武器,攻击,,
装备,部位加成·插件,攻速,,
装备,部位加成·装甲,生命,,
装备,部位加成·芯片,信用点,,
装备,品质名 q0-q7,民用/改装/制式/精制/传说/神话/永恒/不朽,,
装备,自动装备 toast,自动装备 ${品质}·${部位},,
装备,获得装备 toast,获得 ${品质}·${部位},,
装备,合成 toast,合成完成 ×${n}（已装备升阶）,,
装备,拆解 toast,拆解过时装备 ${n} 件 → +${价值} 信用点,,⚠️此处"过时"与按钮"低品质"不一致
装备,词条名,暴击+5% / 攻速+10% / 吸血+3%,,
弹窗,行动受阻标题,⚠️ 行动受阻,,
弹窗,行动受阻正文,猎手在第 ${N} 层被压制了。${死因}可以「重塑」换一具更强的克隆体（本循环已掉落 ${N} 碎片将转为可用，装备回收为信用点带入新局），或者继续硬磨。,,
弹窗,受阻死因·站不住,死因：站不住——生命/防御义体不足，或火力不够导致挨打太久,【删除】,用户 09:18 要求删除
弹窗,受阻死因·超时,死因：输出超时——攻击力不足，无法在时限内击杀,【删除】,用户 09:18 要求删除
弹窗,受阻·重塑按钮,🌀 重塑（结算本循环）,,
弹窗,受阻·硬磨按钮,💪 继续硬磨,,
弹窗,重塑结算标题,🌀 重塑完成,,
弹窗,重塑结算正文,人格已备份，克隆体上线。本循环战果结算：,,
弹窗,结算·碎片行,🌌 掉落碎片转换（Boss 掉落）+${N},,
弹窗,结算·装备行,⚙️ 装备回收（身上+背包 ${n} 件 · 15% 回收率）+${价值},,
弹窗,结算·携带行,新开局携带 ${价值},,
弹窗,结算·广告按钮,📺 看广告：信用点 ×2（+${价值}）,,
弹窗,结算·收下按钮,收下，进入新开局,,
弹窗,技能三选一·属性池标题,🎯 神经技能 · 三选一,,
弹窗,技能三选一·属性池正文,突破第 ${N} 层！选择一项常驻属性强化（同名叠加升级，无上限）：,突破第 ${N} 层！选择一项属性强化,
弹窗,技能三选一·触发池标题,⚡ 神经技能 · 三选一,,
弹窗,技能三选一·触发池正文,中继站接入完成！选择一项触发型强化（达到条件自动触发，同名叠加强化）：,中继站接入完成！选择一项技能强化,
弹窗,习得技能 toast,习得技能：${技能名},,
弹窗,离线标题,🌙 欢迎回来，猎手,,
弹窗,离线正文,离线 ${时长} · 补给送达：,,
弹窗,离线·广告按钮,📺 看广告 ×2（+${收益}）,,
弹窗,离线·收下按钮,收下 +${收益},,
弹窗,复位确认标题,🔄 确认复位？,,
弹窗,复位确认正文,清空全部进度（楼层/金币/碎片/加成树），重新开始测试。,,
弹窗,复位确认按钮,确认复位 / 取消,,
弹窗,清除存档标题,⚠️ 清除存档,,
弹窗,清除存档正文,确定要清空全部进度吗？此操作不可恢复。,,
弹窗,清除存档按钮,确认清除并开始新游戏 / 取消,,
封面,开始·有存档,▶ 进入夜城 · 继续第 ${N} 层 · 自动保存,,
封面,开始·无存档,▶ 开始游戏 · 新的猎杀 · 自动保存,,
提示,树未解锁 toast,加成树在首次重塑后解锁,,
提示,补给冷却 toast,补给箱冷却中（${N} 分钟）,,
提示,补给获得 toast,补给箱：+${收益} 信用点,,
提示,复位完成 toast,已完全复位，新测试段 ${ID} 开始,,
技能·常驻,overclock 战斗超频,暴击率 +10%（可叠加）,,
技能·常驻,fatal 致命固件,暴击伤害 +50%,,
技能·常驻,neuro 神经加速,攻速 +15%,,
技能·常驻,fire 火力协议,攻击 +25%,,
技能·常驻,subdermal 皮下加固,生命 +30%,,
技能·常驻,nano 纳米修复,吸血 +5%,,
技能·常驻,shield 应急护盾,战斗开始获得 10% 最大生命护盾（每场刷新）,,
技能·常驻,blackmarket 黑市渠道,信用点 +30%,,
技能·常驻,resonance 碎片共鸣,Boss 碎片掉落 +10%,,
技能·触发,killcycle 杀戮循环,暴击后攻速 +20%，持续 3 秒,,
技能·触发,adrenaline 肾上腺素,生命低于 50% 时攻速 +30%,,
技能·触发,critsurge 狂暴节奏,暴击后攻速 +30%，持续 5 秒,,
技能·触发,ghoststep 光学迷彩,击杀后无敌 2 秒,,
技能·触发,lowhp 困兽协议,生命低于 30% 时伤害 +40%,,
技能·触发,soulrush 猎手直觉,破盾后攻速 +25%，持续 4 秒,,
加成树,dmg 伤害增幅,+5% 伤害/级,,
加成树,gold 信用点优化,+10% 信用点/级,,
加成树,offline 离线协议,+10% 离线收益/级,,
加成树,soul 灵魂共鸣,+10% 重塑碎片/级,,⚠️per 描述与"碎片掉落增加"说明词不一致（v2.14 已改掉落制）
日志抽屉,标题,📋 测试日志 / 收起 ✕,,
日志抽屉,空态,暂无测试段,,
日志抽屉,封存弹窗标题,⏹️ 测试段 ${ID} 已封存,,
日志抽屉,封存按钮,存入 logs 文件夹 / 导出楼层 CSV / 继续游戏,,
